task,language,category,clean_solves,medium_solves,workflow_solves,preamble_solves,neutral_solves,preamble_neutral_solves,preamble_workflow_solves,workflow_delta,preamble_delta,workflow_vs_preamble,workflow_vs_preamble_workflow,preamble_workflow_interaction,gate_recommendation,profile_labels
actionlint-action-pinning-lint,go,feature_request,3,3,2,3,3,2,3,-1,0,-1,-1,1,clean_or_no_prompt,clean_already_3_of_3;neutral_hurts_preamble;preamble_helps_workflow
adaptix-name-mapping-aliases,python,feature_request,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
claude-code-by-agents-recursive-delegation,typescript,feature_request,3,3,2,1,0,2,2,-1,-2,1,0,2,clean_or_no_prompt,clean_already_3_of_3;neutral_helps_preamble
dateutil-rfc5545-timezone-interop,python,enhancement,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
drizzle-orm-window-function-builders,typescript,feature_request,2,3,3,3,2,3,3,1,1,0,0,-1,baseline-preamble-orchestration-wf,workflow_gain;preamble_gain;medium_gap_positive
dynamodb-toolbox-conditional-attribute-requirements,typescript,feature_request,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
eicrud-keyset-pagination-cursor,typescript,feature_request,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
etree-xml-diff-patch,go,feature_request,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
fastapi-deprecation-response-headers,python,feature_request,0,2,1,3,0,2,1,1,3,-2,0,-3,baseline-preamble-only,workflow_gain;preamble_gain;neutral_hurts_preamble;preamble_unique_best;medium_gap_positive
fd-deterministic-multi-key-sorting,rust,feature_request,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
go-critic-doc-link-checker,go,feature_request,0,3,2,1,0,2,3,2,1,1,-1,0,baseline-preamble-orchestration-wf,workflow_gain;preamble_gain;neutral_helps_preamble;preamble_helps_workflow;medium_gap_positive
go-git-worktree-merge-conflicts,go,feature_request,0,0,0,1,0,0,0,0,1,-1,0,-1,baseline-preamble-only,preamble_gain;neutral_hurts_preamble;preamble_unique_best
goreleaser-retry-publish-auditing,go,feature_request,3,2,3,3,3,3,3,0,0,0,0,0,clean_or_no_prompt,clean_already_3_of_3
happy-dom-deterministic-intersectionobserver,typescript,feature_request,2,2,3,3,2,3,3,1,1,0,0,-1,baseline-preamble-orchestration,workflow_gain;preamble_gain
httpx-multipart-response-parsing,python,feature_request,3,2,3,3,3,3,2,0,0,0,1,-1,clean_or_no_prompt,clean_already_3_of_3;preamble_interferes_with_workflow
katex-multicolumn-array-spans,javascript,feature_request,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
koota-query-predicates,typescript,feature_request,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
langchain-request-coalescing,python,feature_request,0,1,0,0,0,1,0,0,0,0,0,0,baseline-preamble-orchestration,neutral_helps_preamble;medium_gap_positive
mashumaro-flattened-dataclass-fields,python,feature_request,0,1,0,0,2,0,0,0,0,0,0,0,baseline-neutral-orchestration-only,neutral_gain;medium_gap_positive
meriyah-explicit-resource-declarations,typescript,feature_request,0,0,0,0,0,0,1,0,0,0,-1,1,baseline-preamble-orchestration-wf,preamble_helps_workflow
mobly-grouped-test-barriers,python,feature_request,0,2,2,0,2,0,0,2,0,2,2,-2,baseline-neutral-orchestration-only,workflow_gain;neutral_gain;preamble_interferes_with_workflow;medium_gap_positive
obsidian-linter-link-format-conversion,typescript,feature_request,1,1,0,2,3,2,2,-1,1,-2,-2,1,baseline-neutral-orchestration-only,preamble_gain;neutral_gain;preamble_helps_workflow
participle-grammar-conflict-analysis,go,feature_request,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
pest-character-class-coalescing,rust,feature_request,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
psd-tools-blend-range-api,python,feature_request,1,3,3,1,2,1,2,2,0,2,1,-1,baseline-wf-only,workflow_gain;neutral_gain;preamble_interferes_with_workflow;workflow_unique_best;medium_gap_positive
scc-bounded-memory-spilling,go,feature_request,1,0,2,1,1,1,0,1,0,1,2,-2,baseline-wf-only,workflow_gain;preamble_interferes_with_workflow;workflow_unique_best
sql-formatter-bigquery-pipe-formatting,typescript,feature_request,1,3,1,0,1,1,0,0,-1,1,1,0,clean_or_no_prompt,neutral_helps_preamble;preamble_interferes_with_workflow;medium_gap_positive
superjson-error-stack-serialization,typescript,feature_request,0,2,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
tengo-callable-instance-isolation,go,bugfix,0,1,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
tengo-destructuring-bindings,go,feature_request,0,2,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
textual-kitty-key-phases,python,feature_request,0,0,0,2,0,0,0,0,2,-2,0,-2,baseline-preamble-only,preamble_gain;neutral_hurts_preamble;preamble_unique_best
true-myth-iterable-collection-combinators,typescript,feature_request,3,3,3,3,3,3,2,0,0,0,1,-1,clean_or_no_prompt,clean_already_3_of_3;preamble_interferes_with_workflow
updo-policy-alerting,go,feature_request,0,0,0,0,0,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
vulture-persistent-analysis-cache,python,feature_request,1,1,1,0,0,1,0,0,-1,1,1,0,clean_or_no_prompt,neutral_helps_preamble;preamble_interferes_with_workflow
wazero-multi-module-snapshots,go,feature_request,1,2,2,1,2,2,2,1,0,1,0,0,baseline-preamble-orchestration,workflow_gain;neutral_gain;neutral_helps_preamble;medium_gap_positive
yjs-map-conflict-detection,javascript,feature_request,3,3,2,3,1,1,2,-1,0,-1,0,0,clean_or_no_prompt,clean_already_3_of_3;neutral_hurts_preamble
