pass_rate	language	slug	repository	title
1	typescript	obsidian-linter-auto-table-of-contents	platers/obsidian-linter	Add automatic table of contents generation for Obsidian linter
4	go	updo-policy-alerting	Owloops/updo	Add policy-based alerting for failures, latency, and SSL expiry
4	python	bandit-structured-nosec-directives	PyCQA/bandit	Add structured nosec directives for regions and next line
5	python	gql-incremental-graphql-delivery	graphql-python/gql	Add GraphQL incremental delivery with @defer and @stream
12	typescript	koota-deferred-mutation-buffer	pmndrs/koota	Add a deferred mutation buffer to batch entity changes
15	typescript	effect-sse-httpapi-streaming	Effect-TS/effect	Add SSE streaming endpoints to HttpApi
15	go	termenv-preserve-ansi-resets	muesli/termenv	Preserve ANSI resets during truncation and styling
16	typescript	superjson-error-stack-serialization	flightcontrolhq/superjson	Add error stack serialization to SuperJSON
17	typescript	prometheus-transactional-reload-status	prometheus/prometheus	Add transactional reload status and rollback tracking to Prometheus
17	rust	oxvg-structural-selector-preservation	noahbald/oxvg	Preserve structure needed by stylesheet selectors
17	typescript	quill-shared-toolbar-focus	slab/quill	Reuse one toolbar across multiple Quill editors
18	python	kombu-virtual-queue-dead-lettering	celery/kombu	Add dead-lettering, TTL, and overflow handling to virtual queues
19	javascript	csstree-shorthand-expansion-compression	csstree/csstree	Add shorthand expansion and compression to the lexer
20	typescript	optique-conditional-option-dependencies	dahlia/optique	Add conditional option dependencies to Optique
20	typescript	meriyah-explicit-resource-declarations	meriyah/meriyah	Add explicit resource management declarations to the parser
21	typescript	ink-grid-box-layout	vadimdemedes/ink	Add CSS Grid layout to the Box component
21	javascript	testem-bail-on-test-failure	testem/testem	Add bail-on-test-failure handling to Testem
21	rust	pest-character-class-coalescing	pest-parser/pest	Coalesce qualifying choices into character classes
24	javascript	katex-multicolumn-array-spans	KaTeX/KaTeX	Add `\multicolumn` column spans to array-like environments
24	python	vulture-persistent-analysis-cache	jendrikseipp/vulture	Add a persistent analysis cache to Vulture
24	go	helm-array-merge-strategies	helm/helm	Add configurable array merge strategies to Helm value coalescing
26	typescript	koota-pair-relation-tracking	pmndrs/koota	Add pair-level relation tracking modifiers
27	typescript	koota-composite-trait-aspects	pmndrs/koota	Add composite trait aspects to Koota
27	typescript	obsidian-linter-link-format-conversion	platers/obsidian-linter	Add link format conversion between wiki and markdown syntax
27	python	httpx-streaming-json-iteration	encode/httpx	Add streaming JSON iteration to HTTPX responses
27	go	expr-try-catch-errors	expr-lang/expr	Add try/catch error recovery to expr
27	python	sqlfmt-create-table-ddl-formatting	tconbeer/sqlfmt	Format CREATE TABLE DDL and add DDL parsing helpers
28	typescript	koota-query-predicates	pmndrs/koota	Add value-based query predicates to Koota
28	typescript	happy-dom-deterministic-intersectionobserver	capricorn86/happy-dom	Implement a deterministic IntersectionObserver in Happy DOM
29	go	participle-grammar-conflict-analysis	alecthomas/participle	Add build-time grammar conflict analysis to participle
29	python	pwntools-tube-multiplexing	Gallopsled/pwntools	Add tube multiplexing to pwntools
31	python	dateutil-rfc5545-timezone-interop	dateutil/dateutil	Add RFC 5545 timezone interoperability to dateutil recurrence parsing
32	typescript	arktype-json-schema-refs-dependencies	arktypeio/arktype	Add JSON Schema refs and dependency keywords
