task,language,category,clean_solves,medium_solves,workflow_solves,preamble_solves,preamble_workflow_solves,workflow_delta,preamble_delta,gate_recommendation,profile_labels
actionlint-action-pinning-lint,go,feature_request,3,3,2,3,3,-1,0,clean_or_no_prompt,clean_already_3_of_3;neutral_hurts_preamble;preamble_helps_workflow
drizzle-orm-window-function-builders,typescript,feature_request,2,3,3,3,3,1,1,baseline-preamble-orchestration-wf,workflow_gain;preamble_gain;medium_gap_positive
dynamodb-toolbox-conditional-attribute-requirements,typescript,feature_request,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
eicrud-keyset-pagination-cursor,typescript,feature_request,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
fd-deterministic-multi-key-sorting,rust,feature_request,0,1,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
goreleaser-retry-publish-auditing,go,feature_request,3,2,3,3,3,0,0,clean_or_no_prompt,clean_already_3_of_3
katex-multicolumn-array-spans,javascript,feature_request,0,1,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard;medium_gap_positive
langchain-request-coalescing,python,feature_request,0,1,0,0,0,0,0,baseline-preamble-orchestration,neutral_helps_preamble;medium_gap_positive
psd-tools-blend-range-api,python,feature_request,1,3,3,1,2,2,0,baseline-wf-only,workflow_gain;neutral_gain;preamble_interferes_with_workflow;workflow_unique_best;medium_gap_positive
sql-formatter-bigquery-pipe-formatting,typescript,feature_request,1,3,1,0,0,0,-1,clean_or_no_prompt,neutral_helps_preamble;preamble_interferes_with_workflow;medium_gap_positive
textual-kitty-key-phases,python,feature_request,0,0,0,2,0,0,2,baseline-preamble-only,preamble_gain;neutral_hurts_preamble;preamble_unique_best
updo-policy-alerting,go,feature_request,0,0,0,0,0,0,0,clean_or_no_prompt,all_prompt_rows_hard
