task,language,category,clean_k,neutral_k,preamble_k,preamble_neutral_k,workflow_k,preamble_workflow_k,workflow_transition_label,preamble_transition_label,workflow_vs_clean_delta,preamble_vs_clean_delta,preamble_workflow_interaction_k,labels
actionlint-action-pinning-lint,go,feature_request,3,3,3,2,2,3,regression_to_flaky,unchanged_stable,-1,0,1,clean_stable;some_prompt_regresses;preamble_helps_workflow
adaptix-name-mapping-aliases,python,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
claude-code-by-agents-recursive-delegation,typescript,feature_request,3,0,1,2,2,2,regression_to_flaky,regression_to_flaky,-1,-2,2,clean_stable;some_prompt_regresses;full_range_across_prompts
dateutil-rfc5545-timezone-interop,python,enhancement,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
drizzle-orm-window-function-builders,typescript,feature_request,2,2,3,3,3,3,reliability_improvement_to_stable,reliability_improvement_to_stable,1,1,-1,clean_flaky;some_prompt_improves;workflow_improves;preamble_improves
dynamodb-toolbox-conditional-attribute-requirements,typescript,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
eicrud-keyset-pagination-cursor,typescript,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
etree-xml-diff-patch,go,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
fastapi-deprecation-response-headers,python,feature_request,0,0,3,2,1,1,new_reach_lottery_ticket,new_reach_robust,1,3,-3,clean_zero;some_prompt_improves;workflow_improves;preamble_improves;full_range_across_prompts
fd-deterministic-multi-key-sorting,rust,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
go-critic-doc-link-checker,go,feature_request,0,0,1,2,2,3,new_reach_robust,new_reach_lottery_ticket,2,1,0,clean_zero;some_prompt_improves;workflow_improves;preamble_improves;preamble_helps_workflow;full_range_across_prompts
go-git-worktree-merge-conflicts,go,feature_request,0,0,1,0,0,0,unchanged_zero,new_reach_lottery_ticket,0,1,-1,clean_zero;some_prompt_improves;preamble_improves
goreleaser-retry-publish-auditing,go,feature_request,3,3,3,3,3,3,unchanged_stable,unchanged_stable,0,0,0,clean_stable;all_rows_same_as_clean
happy-dom-deterministic-intersectionobserver,typescript,feature_request,2,2,3,3,3,3,reliability_improvement_to_stable,reliability_improvement_to_stable,1,1,-1,clean_flaky;some_prompt_improves;workflow_improves;preamble_improves
httpx-multipart-response-parsing,python,feature_request,3,3,3,3,3,2,unchanged_stable,unchanged_stable,0,0,-1,clean_stable;some_prompt_regresses;preamble_hurts_workflow
katex-multicolumn-array-spans,javascript,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
koota-query-predicates,typescript,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
langchain-request-coalescing,python,feature_request,0,0,0,1,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;some_prompt_improves
mashumaro-flattened-dataclass-fields,python,feature_request,0,2,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;some_prompt_improves
meriyah-explicit-resource-declarations,typescript,feature_request,0,0,0,0,0,1,unchanged_zero,unchanged_zero,0,0,1,clean_zero;some_prompt_improves;preamble_helps_workflow
mobly-grouped-test-barriers,python,feature_request,0,2,0,0,2,0,new_reach_robust,unchanged_zero,2,0,-2,clean_zero;some_prompt_improves;workflow_improves;preamble_hurts_workflow
obsidian-linter-link-format-conversion,typescript,feature_request,1,3,2,2,0,2,regression_to_zero,reliability_improvement,-1,1,1,clean_flaky;some_prompt_improves;some_prompt_regresses;preamble_improves;preamble_helps_workflow;full_range_across_prompts
participle-grammar-conflict-analysis,go,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
pest-character-class-coalescing,rust,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
psd-tools-blend-range-api,python,feature_request,1,2,1,1,3,2,reliability_improvement_to_stable,unchanged_flaky,2,0,-1,clean_flaky;some_prompt_improves;workflow_improves;preamble_hurts_workflow
scc-bounded-memory-spilling,go,feature_request,1,1,1,1,2,0,reliability_improvement,unchanged_flaky,1,0,-2,clean_flaky;some_prompt_improves;some_prompt_regresses;workflow_improves;preamble_hurts_workflow
sql-formatter-bigquery-pipe-formatting,typescript,feature_request,1,1,0,1,1,0,unchanged_flaky,regression_to_zero,0,-1,0,clean_flaky;some_prompt_regresses;preamble_hurts_workflow
superjson-error-stack-serialization,typescript,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
tengo-callable-instance-isolation,go,bugfix,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
tengo-destructuring-bindings,go,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
textual-kitty-key-phases,python,feature_request,0,0,2,0,0,0,unchanged_zero,new_reach_robust,0,2,-2,clean_zero;some_prompt_improves;preamble_improves
true-myth-iterable-collection-combinators,typescript,feature_request,3,3,3,3,3,2,unchanged_stable,unchanged_stable,0,0,-1,clean_stable;some_prompt_regresses;preamble_hurts_workflow
updo-policy-alerting,go,feature_request,0,0,0,0,0,0,unchanged_zero,unchanged_zero,0,0,0,clean_zero;all_rows_same_as_clean
vulture-persistent-analysis-cache,python,feature_request,1,0,0,1,1,0,unchanged_flaky,regression_to_zero,0,-1,0,clean_flaky;some_prompt_regresses;preamble_hurts_workflow
wazero-multi-module-snapshots,go,feature_request,1,2,1,2,2,2,reliability_improvement,unchanged_flaky,1,0,0,clean_flaky;some_prompt_improves;workflow_improves
yjs-map-conflict-detection,javascript,feature_request,3,1,3,1,2,2,regression_to_flaky,unchanged_stable,-1,0,0,clean_stable;some_prompt_regresses
