cell_id,result_path,task,config,rep,model,thinking_level,language,category,reward_binary,reward_partial,total_tokens,turns,tool_calls,agent_wall_s,agent_exit,agent_timed_out,agent_resource_exhausted,verifier_exit,patch_bytes,session_count,session_path,session_bytes,identity_mismatches,has_model_patch,has_verifier_directory,has_verifier_reward,has_verifier_ctrf,has_verifier_log,resource_policy_present,primary_disposition
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep0,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep0/result.json,abs-module-cache-flags,baseline@1.1.0,0,zai/glm-5.2,max,go,enhancement,0,0.5217391304347826,6803441,135,134,947.0,0,False,,0,39680,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep0/session/2026-08-10T23-37-33-898Z_019fee09-e5ca-72a3-8c93-3b135df0e7be.jsonl,530083,,True,True,True,True,True,True,eligible
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep1/result.json,abs-module-cache-flags,baseline@1.1.0,1,zai/glm-5.2,max,go,enhancement,0,0.5217391304347826,4329810,93,109,901.4,0,False,,0,33699,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep1/session/2026-08-11T04-04-12-709Z_019feefe-0525-770f-9990-b46611d67cf4.jsonl,412744,,True,True,True,True,True,True,eligible
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep2,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep2/result.json,abs-module-cache-flags,baseline@1.1.0,2,zai/glm-5.2,max,go,enhancement,1,1.0,6159306,111,125,1053.2,0,False,,0,41379,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep2/session/2026-08-11T04-19-21-719Z_019fef0b-e3f7-74d2-afb8-961c5010a141.jsonl,516572,,True,True,True,True,True,True,eligible
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep0,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep0/result.json,fd-deterministic-multi-key-sorting,baseline@1.1.0,0,zai/glm-5.2,max,rust,feature_request,1,1.0,11689634,136,135,1254.3,0,False,,0,45392,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-10T21-18-10-622Z_019fed8a-48be-7e61-ae39-117e57f0db38.jsonl,636596,,True,True,True,True,True,True,eligible
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep1/result.json,fd-deterministic-multi-key-sorting,baseline@1.1.0,1,zai/glm-5.2,max,rust,feature_request,0,0.993421052631579,7848141,102,110,906.8,0,False,,0,43558,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep1/session/2026-08-10T23-03-09-465Z_019fedea-6599-7222-802f-86223cdf69c5.jsonl,583612,,True,True,True,True,True,True,eligible
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep2,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep2/result.json,fd-deterministic-multi-key-sorting,baseline@1.1.0,2,zai/glm-5.2,max,rust,feature_request,1,1.0,10509091,126,133,1147.2,0,False,,0,46125,1,/home/will/evals/deep-swe-bench/results/glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep2/session/2026-08-10T23-18-20-786Z_019fedf8-4d72-7364-a98f-74694f8b1f2c.jsonl,693446,,True,True,True,True,True,True,eligible
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep0,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep0/result.json,actionlint-action-pinning-lint,baseline,0,openai-codex/gpt-5.5,low,go,feature_request,1,1.0,779747,40,42,183.0,0,False,,0,13998,1,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep0/session/2026-07-05T23-08-51-937Z_019f348a-af61-7206-8dca-68e08c832365.jsonl,198866,,True,True,True,True,True,False,eligible
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep1,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep1/result.json,actionlint-action-pinning-lint,baseline,1,openai-codex/gpt-5.5,low,go,feature_request,1,1.0,884652,46,45,248.6,0,False,,0,14746,1,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep1/session/2026-07-05T23-26-57-694Z_019f349b-409e-78d0-bfef-5c12469189a2.jsonl,215584,,True,True,True,True,True,False,eligible
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep2,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep2/result.json,actionlint-action-pinning-lint,baseline,2,openai-codex/gpt-5.5,low,go,feature_request,1,1.0,692991,40,42,250.5,0,False,,0,12390,1,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep2/session/2026-07-05T23-27-01-381Z_019f349b-4f05-745a-b02f-b21e42180208.jsonl,195799,,True,True,True,True,True,False,eligible
gpt-5.5/low/baseline/adaptix-name-mapping-aliases/rep0,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/adaptix-name-mapping-aliases/rep0/result.json,adaptix-name-mapping-aliases,baseline,0,openai-codex/gpt-5.5,low,python,feature_request,0,0.9974838245866283,2083352,63,62,338.2,0,False,,0,19855,1,/home/will/evals/deep-swe-bench/results/gpt-5.5/low/baseline/adaptix-name-mapping-aliases/rep0/session/2026-07-05T23-24-45-957Z_019f3499-3e05-7b66-ad71-4d56dac79fa4.jsonl,400177,,True,True,True,True,True,False,eligible
