id,task,rep,language,category,outcome,structural_label,baseline_status,treatment_status,difficulty_pass_rate,repository,title,baseline_reward,treatment_reward,baseline_partial,treatment_partial,baseline_agent_wall_s,treatment_agent_wall_s,prompt_chars,cross_task_neighbors,nearest_same_label_cross_task,nearest_different_label_cross_task
superjson-error-stack-serialization/rep0,superjson-error-stack-serialization,0,typescript,feature_request,stable_failed,stable_failed,failed,failed,16.0,flightcontrolhq/superjson,Add error stack serialization to SuperJSON,0,0,0.8826530612244898,0.923469387755102,997.2,1096.6,4159,"[{'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.363026}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.362171}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.361841}, {'id': 'sql-formatter-bigquery-pipe-formatting/rep1', 'structural_label': 'stable_failed', 'cosine': 0.351611}, {'id': 'dateutil-rfc5545-timezone-interop/rep1', 'structural_label': 'stable_failed', 'cosine': 0.35127}]",0.363026,
superjson-error-stack-serialization/rep1,superjson-error-stack-serialization,1,typescript,feature_request,stable_failed,stable_failed,failed,failed,16.0,flightcontrolhq/superjson,Add error stack serialization to SuperJSON,0,0,0.9081632653061225,0.923469387755102,1451.8,1039.7,4159,"[{'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.360988}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.359981}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.359704}, {'id': 'sql-formatter-bigquery-pipe-formatting/rep1', 'structural_label': 'stable_failed', 'cosine': 0.35125}, {'id': 'sql-formatter-bigquery-pipe-formatting/rep0', 'structural_label': 'stable_failed', 'cosine': 0.349595}]",0.360988,
superjson-error-stack-serialization/rep2,superjson-error-stack-serialization,2,typescript,feature_request,stable_failed,stable_failed,failed,failed,16.0,flightcontrolhq/superjson,Add error stack serialization to SuperJSON,0,0,0.6938775510204082,0.9489795918367347,1040.1,1680.5,4159,"[{'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.36784}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.366807}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.36659}, {'id': 'dateutil-rfc5545-timezone-interop/rep1', 'structural_label': 'stable_failed', 'cosine': 0.359239}, {'id': 'dateutil-rfc5545-timezone-interop/rep0', 'structural_label': 'stable_failed', 'cosine': 0.356857}]",0.36784,
obsidian-linter-link-format-conversion/rep0,obsidian-linter-link-format-conversion,0,typescript,feature_request,stable_failed,stable_failed,failed,failed,27.0,platers/obsidian-linter,Add link format conversion between wiki and markdown syntax,0,0,0.9907640638119227,0.9991603694374476,1531.5,1169.6,2196,"[{'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.372981}, {'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.372166}, {'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.368795}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.36802}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.36796}]",0.372166,0.372981
obsidian-linter-link-format-conversion/rep1,obsidian-linter-link-format-conversion,1,typescript,feature_request,stable_failed,stable_failed,failed,failed,27.0,platers/obsidian-linter,Add link format conversion between wiki and markdown syntax,0,0,0.9991603694374476,0.9966414777497901,1145.1,874.5,2196,"[{'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.377669}, {'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.377055}, {'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.370281}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.369328}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.369284}]",0.377055,0.377669
obsidian-linter-link-format-conversion/rep2,obsidian-linter-link-format-conversion,2,typescript,feature_request,stable_failed,stable_failed,failed,failed,27.0,platers/obsidian-linter,Add link format conversion between wiki and markdown syntax,0,0,0.9991603694374476,0.9966414777497901,826.3,1232.7,2196,"[{'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.372993}, {'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.372354}, {'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.366791}, {'id': 'adaptix-name-mapping-aliases/rep2', 'structural_label': 'stable_failed', 'cosine': 0.365769}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.365748}]",0.372354,0.372993
participle-grammar-conflict-analysis/rep0,participle-grammar-conflict-analysis,0,go,feature_request,stable_failed,stable_failed,failed,failed,29.0,alecthomas/participle,Add build-time grammar conflict analysis to participle,0,0,0.9877049180327869,0.680327868852459,1086.8,1133.4,3089,"[{'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.425515}, {'id': 'go-critic-doc-link-checker/rep2', 'structural_label': 'stable_failed', 'cosine': 0.424328}, {'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.413108}, {'id': 'superjson-error-stack-serialization/rep2', 'structural_label': 'stable_failed', 'cosine': 0.345427}, {'id': 'superjson-error-stack-serialization/rep0', 'structural_label': 'stable_failed', 'cosine': 0.341636}]",0.425515,0.413108
participle-grammar-conflict-analysis/rep1,participle-grammar-conflict-analysis,1,go,feature_request,stable_failed,stable_failed,failed,failed,29.0,alecthomas/participle,Add build-time grammar conflict analysis to participle,0,0,0.6844262295081968,0.680327868852459,1366.3,831.4,3089,"[{'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.428392}, {'id': 'go-critic-doc-link-checker/rep2', 'structural_label': 'stable_failed', 'cosine': 0.427148}, {'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.415872}, {'id': 'superjson-error-stack-serialization/rep2', 'structural_label': 'stable_failed', 'cosine': 0.34436}, {'id': 'superjson-error-stack-serialization/rep0', 'structural_label': 'stable_failed', 'cosine': 0.34046}]",0.428392,0.415872
participle-grammar-conflict-analysis/rep2,participle-grammar-conflict-analysis,2,go,feature_request,stable_failed,stable_failed,failed,failed,29.0,alecthomas/participle,Add build-time grammar conflict analysis to participle,0,0,0.6844262295081968,0.6352459016393442,786.9,1239.4,3089,"[{'id': 'go-critic-doc-link-checker/rep0', 'structural_label': 'stable_failed', 'cosine': 0.42853}, {'id': 'go-critic-doc-link-checker/rep2', 'structural_label': 'stable_failed', 'cosine': 0.427565}, {'id': 'go-critic-doc-link-checker/rep1', 'structural_label': 'gain', 'cosine': 0.416077}, {'id': 'superjson-error-stack-serialization/rep2', 'structural_label': 'stable_failed', 'cosine': 0.342501}, {'id': 'superjson-error-stack-serialization/rep0', 'structural_label': 'stable_failed', 'cosine': 0.338827}]",0.42853,0.416077
dateutil-rfc5545-timezone-interop/rep0,dateutil-rfc5545-timezone-interop,0,python,enhancement,stable_failed,stable_failed,failed,failed,31.0,dateutil/dateutil,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,0,0,0.9966698382492863,0.9957183634633682,1365.5,1393.7,2989,"[{'id': 'langchain-request-coalescing/rep0', 'structural_label': 'treatment_timeout', 'cosine': 0.374526}, {'id': 'langchain-request-coalescing/rep1', 'structural_label': 'stable_failed', 'cosine': 0.37344}, {'id': 'langchain-request-coalescing/rep2', 'structural_label': 'stable_failed', 'cosine': 0.372942}, {'id': 'adaptix-name-mapping-aliases/rep1', 'structural_label': 'stable_failed', 'cosine': 0.370772}, {'id': 'adaptix-name-mapping-aliases/rep0', 'structural_label': 'stable_failed', 'cosine': 0.370633}]",0.37344,0.374526
