pass_rate	task
1	Add automatic table of contents generation for Obsidian linter
4	Add policy-based alerting for failures, latency, and SSL expiry
4	Add structured nosec directives for regions and next line
5	Add GraphQL incremental delivery with @defer and @stream
12	Add a deferred mutation buffer to batch entity changes
15	Add SSE streaming endpoints to HttpApi
15	Preserve ANSI resets during truncation and styling
16	Add error stack serialization to SuperJSON
17	Add transactional reload status and rollback tracking to Prometheus
17	Preserve structure needed by stylesheet selectors
17	Reuse one toolbar across multiple Quill editors
18	Add dead-lettering, TTL, and overflow handling to virtual queues
19	Add shorthand expansion and compression to the lexer
20	Add conditional option dependencies to Optique
20	Add explicit resource management declarations to the parser
21	Add CSS Grid layout to the Box component
21	Add bail-on-test-failure handling to Testem
21	Coalesce qualifying choices into character classes
24	Add `\multicolumn` column spans to array-like environments
24	Add a persistent analysis cache to Vulture
24	Add configurable array merge strategies to Helm value coalescing
26	Add pair-level relation tracking modifiers
27	Add composite trait aspects to Koota
27	Add link format conversion between wiki and markdown syntax
27	Add streaming JSON iteration to HTTPX responses
27	Add try/catch error recovery to expr
27	Format CREATE TABLE DDL and add DDL parsing helpers
28	Add value-based query predicates to Koota
28	Implement a deterministic IntersectionObserver in Happy DOM
29	Add build-time grammar conflict analysis to participle
29	Add tube multiplexing to pwntools
31	Add RFC 5545 timezone interoperability to dateutil recurrence parsing
32	Add JSON Schema refs and dependency keywords
32	Add flattened dataclass fields to Mashumaro field options
33	Add async autocomplete options and fetch lifecycle handling
35	Add atomic signal selectors to Kea
36	Add request coalescing to `Runnable`
36	Add transparent encryption to dump uploads
37	Add scoped state data to state machine callbacks and history
37	Complete Kitty keyboard phases and stable fallback key metadata
38	Add dependency-aware async initialization to the container
38	Add keyset cursor pagination to `$find`
40	Fix PromQL label sorting across typed and untyped values
42	Add config file parsing to Cliffy commands
43	Add consistent hash policy support to TrafficPolicy
44	Add deterministic multi-key sorting to fd
44	Implement recursive agent delegation through delegate_task tool calls
45	Validate daemon watch, status, and log lifecycle
46	Add session bundle recording and replay to IPython
47	Add implicit HEAD and automatic OPTIONS responses to FastAPI routes
48	Add hierarchical evaluation cancellation to Boa
48	Add interprocedural taint checks for Bandit injection sinks
49	Add typed variable bindings to Anko
51	Add a checker for broken doc comment links
51	Add incremental cache controls to Bandit
52	Add destructuring bindings to Tengo
52	Add go:embed directive support for interpreted packages
52	Add grouped test phases with synchronized barriers
52	Add safe import checkpoints and invariant validation
53	Persist the fitted feature schema across evaluate, predict, serve, and export
54	Add deprecation, sunset, and successor headers to FastAPI routes
54	Add durability callbacks and wait APIs for sync writes
55	Add method declarations and interface dispatch to Scriggo
55	Add worktree merge conflict handling
56	Add single-active-consumer priority and cancel tracking to virtual transports
57	Add duration encoding to TableVectorizer
59	Add HTML document format handling to Dasel
60	Add boundary modes to `@stencil`
60	Add bounded-memory spilling to SCC aggregation
60	Fix isolated Go-side calls for Tengo callables and closures
62	Add ShapeIndex encoding and decoding
62	Add multipart response parsing to HTTPX
62	Preserve restored query state in persisted snapshots
62	Restore RichLog follow-state parity and expand reflow behavior
63	Reconstruct template strings in partial evaluation output
64	Add drift detection and compliance baselines
64	Add rule evaluation profiling to Rego
65	Add conditional required attributes to schemas
65	Add recursive schema composition to Valibot
67	Add lazy recursive schemas with DTO and JSON Schema export
67	Add partial structuring with error recovery to cattrs
68	Add XML diff, patch, and merge operations to etree
68	Add trap coredump generation to wasmi
69	Add `matchEach` to ts-pattern
69	Add input key aliases to name mapping
69	Add retry-aware publishing audit logs
70	Add task snapshots, inspection, and diffing to aiomonitor
70	Expose accumulated streamed function-call args in SDK surfaces
71	Add bidirectional TOML table converters
71	Add default arguments to Anko function parameters
71	Add deterministic map conflict detection to Y.Map writes
71	Add grouping-set and window-frame SQL helpers
71	Add multiplexed ordered streams over KCP
71	Add stepped slices for arrays and strings
73	Add multi-module memory snapshots to wazero
73	Add scoped per-rule ignore markers to Obsidian Linter
74	Harden module loading, cache introspection, and script flags
75	Add task graph export with JSON, DOT, and text output
77	Add a per-origin circuit breaker to ofetch
79	Add JSONPath query APIs to orderedmap and Starlark modules
80	Add unified manifest stream output across Helm commands
81	Add a deterministic CookieStore with modern Set-Cookie parsing
81	Partition report files by launcher and expand report templates
82	Add action pinning linting for actions and reusable workflows
82	Add an error-accumulating Validated container
82	Add duration-aware sharding to Vitest
83	Format BigQuery pipe syntax queries correctly
85	Add typed window function builders with OVER clauses
86	Add entity snapshot and rollback APIs to Koota
86	Add typed blend range access and blend-if compositing
91	Add iterable collection combinators to true-myth
92	Add rolling min, max, median, and quantile methods
93	Abort pending body reads on shutdown
