cell_id,result_path,task,config,rep,model,thinking_level,language,category,reward_binary,reward_partial,total_tokens,turns,tool_calls,agent_wall_s,agent_exit,agent_timed_out,agent_resource_exhausted,verifier_exit,patch_bytes,session_count,session_path,session_bytes,identity_mismatches,has_model_patch,has_verifier_directory,has_verifier_reward,has_verifier_ctrf,has_verifier_log,resource_policy_present,primary_disposition
Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep0,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep0/result.json,dateutil-rfc5545-timezone-interop,baseline-laguna-s21,0,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,enhancement,0,0.9928639391056137,17147600,127,126,1853.4,0,False,,0,51993,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-23T07-19-10-562Z_019f8dd7-afe2-764f-90c6-fbf11a1a0e26.jsonl,1011067,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep1/result.json,dateutil-rfc5545-timezone-interop,baseline-laguna-s21,1,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,enhancement,0,0.9985727878211227,16661474,139,144,1769.9,0,False,,0,58244,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep1/session/2026-07-23T07-50-10-081Z_019f8df4-0fa0-7f93-abf5-bb11d8c1f45f.jsonl,929578,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep2,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep2/result.json,dateutil-rfc5545-timezone-interop,baseline-laguna-s21,2,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,enhancement,-1,0.0,1337733,33,32,2845.6,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/dateutil-rfc5545-timezone-interop/rep2/session/2026-07-23T08-19-45-518Z_019f8e0f-26ee-7495-a854-bfd22400ee71.jsonl,1132998,,True,True,False,False,False,False,verifier_skipped_empty_patch
Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep0,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep0/result.json,langchain-request-coalescing,baseline-laguna-s21,0,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,feature_request,-1,0.0,4071572,47,52,5400.2,timeout,True,,timeout,32945,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep0/session/2026-07-23T09-07-11-890Z_019f8e3a-9592-7f9d-ae2d-3dc7b6cc5989.jsonl,621171,,True,True,False,False,True,False,agent_timeout
Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep1/result.json,langchain-request-coalescing,baseline-laguna-s21,1,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,feature_request,-1,0.0,1030783,30,31,3004.6,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep1/session/2026-07-23T11-12-12-685Z_019f8ead-098d-78bc-a3b9-75d33de99336.jsonl,1183151,,True,True,False,False,False,False,verifier_skipped_empty_patch
Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep2,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep2/result.json,langchain-request-coalescing,baseline-laguna-s21,2,local-vllm/poolside/Laguna-S-2.1-INT4,high,python,feature_request,0,0.9893617021276596,23655480,166,170,2787.7,0,False,,0,64551,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/langchain-request-coalescing/rep2/session/2026-07-23T12-02-17-932Z_019f8eda-e4cc-7253-b121-4d13e02e48ed.jsonl,1240559,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep0,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep0/result.json,obsidian-linter-link-format-conversion,baseline-laguna-s21,0,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,0,0.998320738874895,9901432,73,90,3970.2,0,False,,0,33525,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep0/session/2026-07-22T21-12-51-558Z_019f8bac-9665-779c-bb65-d0b90a5bc924.jsonl,1210050,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep1/result.json,obsidian-linter-link-format-conversion,baseline-laguna-s21,1,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,0,0.9991603694374476,6770625,64,83,2690.9,0,False,,0,31077,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep1/session/2026-07-23T04-58-31-357Z_019f8d56-ea3d-7aaa-8fd3-28cd38cabbe4.jsonl,1091873,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep2,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep2/result.json,obsidian-linter-link-format-conversion,baseline-laguna-s21,2,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,0,0.9991603694374476,14338042,100,115,2296.9,0,False,,0,42767,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/obsidian-linter-link-format-conversion/rep2/session/2026-07-22T22-27-44-747Z_019f8bf1-25eb-71cf-93d8-e5956b5183c4.jsonl,764069,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep0,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep0/result.json,participle-grammar-conflict-analysis,baseline-laguna-s21,0,local-vllm/poolside/Laguna-S-2.1-INT4,high,go,feature_request,0,0.6352459016393442,11035881,96,109,1410.1,0,False,,0,49437,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep0/session/2026-07-23T05-43-39-575Z_019f8d80-3d37-7615-97df-bd26184f4da8.jsonl,755376,,True,True,True,True,True,False,eligible
