task,language,clean_k,workflow_k,preamble_k,preamble_workflow_k,labels
actionlint-action-pinning-lint,go,3,2,3,3,clean_stable;some_prompt_regresses;preamble_helps_workflow
drizzle-orm-window-function-builders,typescript,2,3,3,3,clean_flaky;some_prompt_improves;workflow_improves;preamble_improves
fd-deterministic-multi-key-sorting,rust,0,0,0,0,clean_zero;all_rows_same_as_clean
go-git-worktree-merge-conflicts,go,0,0,1,0,clean_zero;some_prompt_improves;preamble_improves
koota-query-predicates,typescript,0,0,0,0,clean_zero;all_rows_same_as_clean
langchain-request-coalescing,python,0,0,0,0,clean_zero;some_prompt_improves
meriyah-explicit-resource-declarations,typescript,0,0,0,1,clean_zero;some_prompt_improves;preamble_helps_workflow
mobly-grouped-test-barriers,python,0,2,0,0,clean_zero;some_prompt_improves;workflow_improves;preamble_hurts_workflow
participle-grammar-conflict-analysis,go,0,0,0,0,clean_zero;all_rows_same_as_clean
true-myth-iterable-collection-combinators,typescript,3,3,3,2,clean_stable;some_prompt_regresses;preamble_hurts_workflow
vulture-persistent-analysis-cache,python,1,1,0,0,clean_flaky;some_prompt_regresses;preamble_hurts_workflow
wazero-multi-module-snapshots,go,1,2,1,2,clean_flaky;some_prompt_improves;workflow_improves
