topic_id,task,size_observations,configs,cells,primary_type,member_configs,representative_doc_id,representative_text
actionlint-action-pinning-lint-topic-000,actionlint-action-pinning-lint,40,12,39,test_failure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-off;observational-memory-gpt55-xhigh,4351477a542d2463fbfae1f2e68cb710,User requested a new lint rule with error kind `action-pinning` to enforce pinned versions for step-level action `uses:` references and job-level reusable workflow `uses:` references.
actionlint-action-pinning-lint-topic-001,actionlint-action-pinning-lint,26,10,25,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,3bb7de0de5e0b4699b26842a356fab1e,"Spec: `action-pinning` config has a `level` field accepting `major-minor` (requires vMAJOR.MINOR), `semver` (requires vMAJOR.MINOR.PATCH including prerelease, this is the default), or `commit-sha` (requires full 40-character lowercase hex SHA). Levels are ordered by increasing strictness so a ref satisfying a stricter level satisfies any less strict requirement."
actionlint-action-pinning-lint-topic-002,actionlint-action-pinning-lint,30,11,29,test_failure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,3490a6278eb6932e7f487a1d90f57656,"action-pinning skip rules: skip local refs (`./`) and Docker refs (`docker://`). When the action name itself is an expression, skip it entirely. When only the version ref is a dynamic expression, flag it with an error indicating the ref is a dynamic expression that cannot be verified for pinning."
actionlint-action-pinning-lint-topic-003,actionlint-action-pinning-lint,30,11,30,task_requirement,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,d3db0373a8cb0d92dcf6f0b70d33980a,"User specified action-pinning allow and deny config: `allowed-owners` is case-insensitive, `allowed-actions` uses `owner/repo` format, `denied-owners` and `denied-actions` are supported, global and per-path lists merge by union, and denials take precedence over allowances so denied entries remain subject to pinning checks rather than being unconditionally blocked."
actionlint-action-pinning-lint-topic-004,actionlint-action-pinning-lint,17,6,17,test_failure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-off;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,1b04dede2a44376368ff8acf53005fe5,"For popular actions in known-actions data, error suggestions should reference the specific known version. Per-path overrides use the 'action-pinning' key to override pinning level; a per-path entry enables the rule even without a global section."
actionlint-action-pinning-lint-topic-005,actionlint-action-pinning-lint,28,11,26,task_requirement,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,2fcadce1b42b7a9a2c009de512b5a54e,User specified an `-action-pinning-level` CLI flag overrides only the pinning level (not allow/deny lists) and enables the rule even when it would otherwise be disabled.
actionlint-action-pinning-lint-topic-006,actionlint-action-pinning-lint,19,11,19,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-off,a58a18164ec5e3760740c087d93b864e,User instructed the work to be done on a new branch from `main` and to commit everything when finished.
actionlint-action-pinning-lint-topic-007,actionlint-action-pinning-lint,4,3,4,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off,9bd38959dee724a84b9f1bde1cd9a3cc,"Created new git branch 'action-pinning' from main. The working directory is the actionlint Go project root containing files like rule_action.go, config.go, linter.go, command.go, ast.go, pass.go."
actionlint-action-pinning-lint-topic-008,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-high,3565f1ea3de8812e2ceaa9a2d9952b5c,"Key codebase exploration findings: Config struct is in config.go with PathConfig for per-path overrides and PathConfigs() method for matching. RuleAction (rule_action.go:307) implements VisitStep and handles `uses:` parsing for actions (local `./`, docker://, and repo actions). RuleWorkflowCall (rule_workflow_call.go:18) handles job-level reusable workflow calls via VisitJobPre. WorkflowCall struct (ast.go:848) has a `Uses *String` field for reusable workflow references."
actionlint-action-pinning-lint-topic-009,actionlint-action-pinning-lint,10,4,10,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt55-off,3d5919f4375088386c5ef1487db7e3d4,"Codebase exploration: rules are registered in linter.go around line 558-572 as a []Rule slice (e.g. NewRuleMatrix, NewRuleAction, NewRuleWorkflowCall, NewRuleExpression). Each rule embeds RuleBase and implements Pass visitor callbacks (VisitStep, VisitJobPre, VisitJobPost, etc.). RuleBase provides Error/Errorf and SetConfig/Config methods."
