model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_gold_turns,first_gold_turn,last_gold_turn,gold_coverage
gpt-5.5,low,baseline,abs-module-cache-flags,0,solved,1,1.0,47,12,4,41,0.75
gpt-5.5,low,baseline,abs-stepped-slices,0,solved,1,1.0,43,13,3,22,1.0
gpt-5.5,low,baseline,actionlint-action-pinning-lint,0,found_kept_failed,0,0.995,37,18,3,35,1.0
gpt-5.5,low,baseline,actionlint-action-pinning-lint,1,solved,1,1.0,37,27,2,36,1.0
gpt-5.5,low,baseline,actionlint-action-pinning-lint,2,solved,1,1.0,25,17,2,24,1.0
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9960460100647016,46,24,4,34,0.714
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,1,found_kept_failed,0,0.9982027318475917,68,28,3,62,1.0
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,2,found_kept_failed,0,0.9974838245866283,74,38,3,61,0.714
gpt-5.5,low,baseline,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.7213114754098361,33,17,3,28,1.0
gpt-5.5,low,baseline,anko-default-function-arguments,0,found_then_lost,0,0.9834710743801653,52,5,9,22,0.333
gpt-5.5,low,baseline,anko-default-function-arguments,1,found_kept_failed,0,0.9834710743801653,49,11,14,43,0.667
gpt-5.5,low,baseline,anko-default-function-arguments,2,found_then_lost,0,0.9917355371900827,48,2,14,20,0.333
gpt-5.5,low,baseline,anko-typed-variable-bindings,0,found_kept_failed,0,0.9611650485436893,61,28,4,56,0.778
gpt-5.5,low,baseline,anko-typed-variable-bindings,1,found_kept_failed,0,0.9611650485436893,53,24,4,48,0.889
gpt-5.5,low,baseline,anko-typed-variable-bindings,2,found_kept_failed,0,0.9611650485436893,48,24,3,42,0.889
gpt-5.5,low,baseline,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,43,20,2,36,0.833
gpt-5.5,low,baseline,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9988262910798122,33,16,4,22,0.714
gpt-5.5,low,baseline,awilix-async-container-initialization,0,solved,1,1.0,36,19,2,28,1.0
gpt-5.5,low,baseline,awilix-async-container-initialization,1,found_kept_failed,0,0.9946236559139785,38,20,3,33,1.0
gpt-5.5,low,baseline,awilix-async-container-initialization,2,found_kept_failed,0,0.9946236559139785,40,18,2,33,1.0
gpt-5.5,low,baseline,bandit-incremental-cache-control,0,found_kept_failed,0,0.9752066115702479,27,12,4,20,0.667
gpt-5.5,low,baseline,bandit-interprocedural-taint-checks,0,found_kept_failed,0,0.9220055710306406,33,6,3,31,0.333
gpt-5.5,low,baseline,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9971509971509972,32,11,3,27,0.429
gpt-5.5,low,baseline,bandit-structured-nosec-directives,1,found_kept_failed,0,0.9971509971509972,43,15,3,37,0.714
gpt-5.5,low,baseline,bandit-structured-nosec-directives,2,found_kept_failed,0,0.9943019943019943,39,11,3,29,0.571
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.9583333333333334,63,40,3,59,1.0
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.9166666666666666,58,35,3,52,1.0
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.9583333333333334,63,33,5,58,1.0
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,0,solved,1,1.0,45,17,3,40,0.667
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,1,solved,1,1.0,36,14,4,30,0.667
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,2,solved,1,1.0,38,19,3,34,0.667
gpt-5.5,low,baseline,clack-async-autocomplete-options,0,found_then_lost,0,0.9848275862068966,25,12,3,16,0.667
gpt-5.5,low,baseline,clack-async-autocomplete-options,1,found_kept_failed,0,0.9917241379310345,35,18,3,31,0.667
gpt-5.5,low,baseline,clack-async-autocomplete-options,2,found_kept_failed,0,0.9848275862068966,32,17,4,27,0.667
gpt-5.5,low,baseline,claude-code-by-agents-recursive-delegation,0,solved,1,1.0,23,7,3,19,0.75
gpt-5.5,low,baseline,cliffy-config-file-parsing,0,solved,1,1.0,52,24,3,48,0.667
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9997022746218888,30,8,2,25,0.333
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,1,found_then_lost,0,0.9991068238656663,31,7,3,19,0.333
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,2,found_kept_failed,0,0.9995831844706443,19,6,3,14,0.667
gpt-5.5,low,baseline,dasel-html-document-format,0,found_kept_failed,0,0.8739205526770294,43,9,5,35,0.75
gpt-5.5,low,baseline,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9995242626070409,47,26,2,43,1.0
gpt-5.5,low,baseline,drizzle-orm-window-function-builders,0,solved,1,1.0,47,18,4,41,1.0
gpt-5.5,low,baseline,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9838212634822804,67,41,4,64,0.625
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9831288343558282,85,50,4,75,0.75
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,1,found_kept_failed,0,0.9831288343558282,72,49,4,68,0.667
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,2,found_kept_failed,0,0.9831288343558282,70,43,4,67,0.75
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.9743589743589743,69,43,3,62,1.0
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,1,found_kept_failed,0,0.9743589743589743,77,43,3,64,1.0
